,femur,tibia
1973,4,3
1974,0,40
1975,18,0
1976,8,8
1977,22,162
1978,69,222
1979,61,89
1980,33,809
1981,54,123
1982,28,4
1983,24,2
1984,1,134
1985,2,5
1986,255,168
1987,11,875
1988,21,1
1989,164,4
1990,0,2
1991,128,1
1992,16,10
1993,6,0
1994,8,109
1995,4,97
1996,0,0
1997,1,3
1998,0,0
1999,3,139
2000,479,1109
2001,11,4
2002,8,3
2003,9,5
2004,1,0
2005,6,220
2006,30,225
2007,315,1
2008,632,115
2009,3,2
2010,57,0
2011,87,69
2012,22,8
2013,244,6
2014,1,0
2015,3,4
2016,81,56
2017,2,4
2018,47,3
2019,18,1
2020,602,916
2021,5,0
2022,40,5
2023,8,113
2024,0,0
2025,5,0
2026,0,13
2027,0,0
2028,6,18
2029,3,4
2030,1,9
2031,8,6
2032,10,1
2033,107,6
2034,0,0
2035,104,5
2036,227,1
2037,9,0
2038,2,0
2039,7,0
2040,3,0
2041,2,1
2042,6,15
2043,0,0
2044,0,10
2045,4,163
2046,0,5
2047,5,3
2048,0,398
2049,2,688
2050,0,15
2051,0,10
2052,0,24
2053,189,0
2054,3,1466
2055,0,10
2056,0,0
2057,0,18
2058,0,0
2059,3,0
2060,2,1
2061,0,61
2062,4,2
2063,686,31
2064,581,1388
2065,964,65
2066,16,57
2067,313,0
2068,337,18
2069,1181,227
2070,875,15
2071,2148,3
2072,2,25
2073,0,1
2074,0,0
2075,4,1
2076,0,3
2077,2,12
2078,17,0
2079,221,36
2080,12,14
2081,2,2
2082,138,2
2083,446,172
2084,5,10
2085,1,0
2086,0,6
2087,6,8
2088,0,85
2089,11,5
2090,146,0
2091,6,1
2092,2,0
2093,137,0
2094,3,7
2095,9,1
2096,0,3
2097,106,0
2098,256,2
2099,245,48
2100,59,167
2101,15,8
2102,45,7
2103,140,1039
2104,32,645
2105,10,1
2106,0,0
2107,6,0
