,afemur,atibia,bfemur,btibia
3989,14866,15935,13232,20067
3990,15352,16386,13102,19102
3991,14661,16036,13085,20544
3992,14993,16508,13488,19954
3993,15744,16538,14078,20347
3994,17375,17662,15765,19809
3995,18948,17971,17382,17018
3996,20542,17461,19074,14159
3997,21471,15959,19877,10613
3998,21910,11523,19766,9372
3999,21820,9706,17326,8043
4000,15643,8447,14152,7007
4001,10975,7017,10655,5878
4002,9453,639,10371,28
4003,12204,3429,13081,2473
4004,14105,5102,15380,4833
4005,15793,6772,17633,6667
4006,17586,9050,19947,8398
4007,19840,11519,22235,10828
4008,22018,12526,23802,14437
4009,23564,13794,24151,15318
4010,22753,15532,21580,17407
4011,21987,16622,20483,19312
4012,21605,17274,19916,20736
4013,21482,17019,18786,20554
4014,21918,16635,19472,19857
4015,22399,15635,19622,19314
4016,23447,15633,20455,20008
4017,25081,13704,22178,19671
4018,27310,14598,25169,19188
4019,29084,14149,26440,18676
4020,30376,13373,27735,17881
4021,31150,12944,28216,16654
4022,30917,11639,27886,14315
4023,28681,9956,23468,11815
4024,20810,7848,19375,9766
4025,15704,7953,13795,5945
4026,17798,10543,15929,7800
4027,19278,11635,17662,9786
4028,21289,13388,19692,12584
4029,23173,14752,21977,14087
4030,25489,15316,24229,15284
4031,26555,16459,24798,16642
4032,25296,17206,23296,17187
4033,23069,17602,21951,18046
4034,22318,17729,21282,18902
4035,22100,17455,20392,19072
4036,22164,17006,20004,19346
4037,22717,16690,19801,19216
4038,24369,16222,20599,19064
4039,26340,15682,22500,18554
4040,28942,14725,25132,17705
4041,30968,14517,27611,16957
4042,32254,14564,29609,16248
4043,32803,13814,30675,14832
4044,32961,12970,29768,13818
4045,27968,11820,25686,12655
4046,22594,11000,22290,11144
4047,18789,9207,19166,9959
4048,497,0,0,0
4049,6743,0,7472,0
4050,9459,1817,10492,2376
4051,11799,3443,11730,4141
4052,12863,6189,13753,6259
4053,14759,7036,16638,7911
4054,16455,9213,17651,8968
4055,17064,9805,20014,9819
4056,16833,11238,21596,11012
4057,17049,13114,19311,12259
4058,16422,14267,18671,13895
4059,15951,15117,18390,13773
4060,15789,15526,18445,14394
4061,16323,15761,18911,13346
4062,17293,16017,19807,13713
4063,19881,17229,22045,14666
4064,22424,17227,23996,14485
4065,23591,16463,23243,13467
4066,21037,15659,20480,12734
4067,19008,14249,17993,10882
4068,16035,10680,14878,10088
4069,11501,9056,11398,9361
