,areas,phi,rho,seg,name
1,78,198.92584,0.06279621,1,9000798_10_016
2,12,210.19498,0.087528594,1,9000798_10_016
0,14,36.35596,0.10884818,3,9000798_10_016
0,15,120.15072,0.10123564,1,9000798_10_017
1,32,202.17334,0.10687491,1,9000798_10_017
0,94,100.69797,0.10818988,1,9000798_10_018
1,99,214.53133,0.08901059,1,9000798_10_018
0,91,101.9367,0.108759575,1,9000798_10_019
0,97,105.20187,0.10973476,1,9000798_10_020
0,47,278.96692,0.16702284,3,9000798_10_020
0,63,105.65311,0.111730635,1,9000798_10_021
0,10,189.07307,0.042875003,3,9001897_08_000
1,154,191.72621,0.06710651,3,9001897_08_000
2,19,219.8095,0.06827864,3,9001897_08_000
3,46,150.21532,0.079627335,3,9001897_08_000
0,16,119.78827,0.056016434,3,9001897_08_001
1,27,214.39757,0.049859587,3,9001897_08_001
2,338,218.28448,0.07588163,3,9001897_08_001
3,114,240.6301,0.12667754,3,9001897_08_001
4,10,136.31213,0.06021789,3,9001897_08_001
5,28,137.95847,0.09101941,3,9001897_08_001
6,14,243.78574,0.15867297,3,9001897_08_001
7,11,239.4576,0.15529956,3,9001897_08_001
0,1031,215.9023,0.0740449,3,9001897_08_002
1,21,235.80507,0.04460462,3,9001897_08_002
2,284,114.18281,0.13773406,3,9001897_08_002
3,10,210.60669,0.0374756,3,9001897_08_002
4,12,248.93225,0.13239886,3,9001897_08_002
0,21,260.04575,0.04084684,1,9001897_08_003
1,24,240.00749,0.04060282,1,9001897_08_003
2,18,229.65512,0.042681687,1,9001897_08_003
3,10,220.78737,0.042667445,1,9001897_08_003
4,87,219.19672,0.05593158,1,9001897_08_003
0,16,89.59198,0.18404,3,9001897_08_003
1,11,207.24437,0.0229084,3,9001897_08_003
2,670,225.30992,0.09106107,3,9001897_08_003
3,148,117.57617,0.13481136,3,9001897_08_003
4,13,107.3355,0.16561277,3,9001897_08_003
5,11,116.82687,0.10916536,3,9001897_08_003
6,31,157.3882,0.072938584,3,9001897_08_003
0,236,161.66211,0.050479338,3,9001897_08_004
1,11,105.09885,0.11545291,3,9001897_08_004
2,652,231.79034,0.10006224,3,9001897_08_004
3,19,113.85312,0.11933864,3,9001897_08_004
4,181,119.32081,0.13985382,3,9001897_08_004
5,20,247.88086,0.18367329,3,9001897_08_004
6,12,113.97241,0.18641038,3,9001897_08_004
0,45,234.57993,0.060358908,1,9001897_08_005
0,25,87.78575,0.16878834,3,9001897_08_005
1,11,281.00385,0.014159454,3,9001897_08_005
2,18,169.5264,0.003769013,3,9001897_08_005
3,22,94.02963,0.15488137,3,9001897_08_005
4,893,108.348366,0.16867182,3,9001897_08_005
5,15,93.44519,0.17738508,3,9001897_08_005
6,15,258.47076,0.092248976,3,9001897_08_005
7,11,98.27676,0.10560443,3,9001897_08_005
8,479,208.21516,0.05745051,3,9001897_08_005
9,12,257.35025,0.11834143,3,9001897_08_005
10,11,260.28635,0.14041294,3,9001897_08_005
11,14,252.3629,0.10479663,3,9001897_08_005
12,10,99.6791,0.24381919,3,9001897_08_005
13,10,254.28836,0.16382897,3,9001897_08_005
0,23,234.78119,0.050181895,1,9001897_08_006
1,15,115.84743,0.09605283,1,9001897_08_006
2,10,217.2016,0.05652757,1,9001897_08_006
3,54,122.46345,0.1102002,1,9001897_08_006
4,13,128.45644,0.107494175,1,9001897_08_006
5,16,203.00131,0.097549275,1,9001897_08_006
6,59,203.22137,0.11736671,1,9001897_08_006
7,13,199.39107,0.11052386,1,9001897_08_006
0,1957,148.22647,0.052889507,3,9001897_08_006
1,181,93.225266,0.18996677,3,9001897_08_006
2,14,92.6176,0.055213843,3,9001897_08_006
3,10,257.7881,0.1256111,3,9001897_08_006
4,11,108.2764,0.10430394,3,9001897_08_006
5,11,251.31293,0.12274548,3,9001897_08_006
6,176,245.97633,0.15043584,3,9001897_08_006
7,16,254.60999,0.19446619,3,9001897_08_006
8,45,248.28232,0.19720533,3,9001897_08_006
0,50,6.8038325,0.19798914,1,9001897_08_007
1,11,7.455053,0.18411677,1,9001897_08_007
2,15,113.03963,0.094285175,1,9001897_08_007
3,109,120.74288,0.112121075,1,9001897_08_007
4,14,238.71176,0.1248818,1,9001897_08_007
5,16,229.70674,0.13960291,1,9001897_08_007
6,88,220.93073,0.14133933,1,9001897_08_007
0,20,285.31708,0.08583458,3,9001897_08_007
1,36,277.8468,0.10698386,3,9001897_08_007
2,13,277.03226,0.13469514,3,9001897_08_007
3,24,275.70267,0.08979952,3,9001897_08_007
4,34,244.4156,0.034520194,3,9001897_08_007
5,21,94.67135,0.08311787,3,9001897_08_007
6,61,97.38421,0.18551947,3,9001897_08_007
7,1617,164.56429,0.056209143,3,9001897_08_007
8,10,133.87181,0.027954403,3,9001897_08_007
9,19,257.21893,0.08659147,3,9001897_08_007
10,18,185.95747,0.023377456,3,9001897_08_007
11,18,251.17616,0.10116,3,9001897_08_007
12,17,105.15685,0.17906712,3,9001897_08_007
13,32,247.68779,0.19040383,3,9001897_08_007
14,17,249.54205,0.20689465,3,9001897_08_007
0,19,5.2297587,0.20079826,1,9001897_08_008
1,16,119.11582,0.10652072,1,9001897_08_008
2,18,130.8155,0.12520498,1,9001897_08_008
3,15,137.65356,0.13033795,1,9001897_08_008
0,48,81.32036,0.16200943,3,9001897_08_008
1,32,282.48172,0.10941816,3,9001897_08_008
2,15,83.6208,0.18432006,3,9001897_08_008
3,17,275.4328,0.1091694,3,9001897_08_008
