,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
2063,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66,64,29,15,7,2,9,16,10,9,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,0,0,0,0,0,3,0,4,7,71,98,125,122,116,113,77,74,42,39,29,7,0,0,0,0,0,1,0,1,2,0,1,0,1,3,0,0,1,6,12,7,0,1,0,69,34,49,12,7,0,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2065,0,0,0,0,0,28,499,1243,2911,4715,5029,4740,4197,3809,3247,2921,2444,2079,1427,919,791,618,412,322,446,354,287,168,141,146,188,84,58,160,91,7,2,23,42,21,1,9,19,258,262,273,264,139,53,20,21,60,64,47,56,51,12,3,6,14,26,15,8,1,0,0,0,0,0,0,0
2066,0,0,0,0,79,494,514,942,1294,1311,1012,768,928,820,627,529,460,414,398,512,636,320,425,406,389,369,245,160,141,91,39,26,24,6,4,0,0,4,128,448,383,381,247,232,506,291,264,664,592,446,309,184,90,57,42,32,23,17,15,12,18,18,30,23,22,19,9,0,0,0,0
2067,0,0,0,0,0,265,1130,1626,1735,1767,1740,1750,1746,1915,1858,1724,1522,1454,1348,1235,791,489,391,369,232,150,92,75,59,116,38,25,15,27,10,0,0,0,12,179,298,210,153,138,1085,1266,702,550,483,345,178,79,79,29,2,7,19,32,24,13,5,13,21,20,18,2,1,1,0,0,0
2068,0,0,0,0,0,307,1231,1583,1831,2203,2337,2365,2324,2151,2143,2034,1646,1314,959,486,264,275,293,176,124,96,37,34,6,2,11,3,0,0,0,0,0,0,4,82,104,146,171,31,287,1106,948,618,635,366,152,154,40,11,0,0,1,1,6,6,4,11,27,21,14,3,0,0,0,0,0
2069,0,0,0,0,1,111,633,1951,1944,2817,2911,2690,2081,1688,1356,1190,1098,817,587,333,141,148,227,391,419,238,158,195,183,240,213,480,223,125,27,0,0,36,232,407,671,1096,1614,952,1055,735,1302,1113,953,730,513,392,265,137,90,122,69,49,29,30,21,16,28,27,44,15,15,0,0,0,0
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,0,0,0,0,0,0,0,0,4,15,7,81,33,23,10,1,0,4,16,32,10,1,38,5,26,49,188,227,197,87,50,26,17,11,2,9,1,0,0,25,88,88,75,96,19,0,2,0,0,6,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,0,0,0,0,0,14,8,1,14,81,30,41,22,63,58,28,11,0,0,5,1,4,13,16,30,23,8,2,1,14,21,13,10,3,2,2,2,18,0,1,12,26,195,145,80,0,4,1,1,0,0,0,0,0,0,0,0,74,153,186,155,144,197,180,152,173,273,302,185,36,1
